ticker,run_timestamp,rs_ratio,rs_momentum,quadrant
XLB,2026-09-15 08:22:46 UTC,100.34869843667344,100.62486521935053,Leading
XLC,2026-09-15 08:22:46 UTC,99.046269433701,99.6893180299684,Lagging
XLE,2026-09-15 08:22:46 UTC,102.17396661007852,99.34228592823804,Weakening
XLF,2026-09-15 08:22:46 UTC,100.56793065964135,98.80291565683814,Weakening
XLI,2026-09-15 08:22:46 UTC,99.84123017520375,100.22722916140475,Improving
XLK,2026-09-15 08:22:46 UTC,100.54971513163682,100.44897789509959,Leading
XLP,2026-09-15 08:22:46 UTC,99.49144413539827,98.88660436857951,Lagging
XLRE,2026-09-15 08:22:46 UTC,98.31002592646371,100.03965152346187,Improving
XLU,2026-09-15 08:22:46 UTC,99.41712545852246,98.94116314262193,Lagging
XLV,2026-09-15 08:22:46 UTC,99.89636521124255,100.9784570952223,Improving
XLY,2026-09-15 08:22:46 UTC,100.35722882143814,102.01853197921494,Leading
